,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
223,Shakib Al Hasan,45,56,1,124.44444444444444
224,Shivam Mavi,15,25,0,166.66666666666669
225,Simarjeet Singh,8,12,0,150.0
226,Sohail Tanvir,6,1,1,16.666666666666664
227,T Henderson,2,1,0,50.0
228,T Natarajan,14,14,1,100.0
229,TA Boult,51,60,0,117.64705882352942
230,TG Southee,44,52,1,118.18181818181819
231,TK Curran,9,22,0,244.44444444444446
232,TL Suman,1,1,0,100.0
233,UT Yadav,85,148,3,174.11764705882354
234,V Pratap Singh,7,4,0,57.14285714285714
235,V Sehwag,1,1,0,100.0
236,VR Aaron,17,33,0,194.11764705882354
237,VRV Singh,7,3,1,42.857142857142854
238,WD Parnell,8,7,0,87.5
239,WPUJC Vaas,2,4,1,200.0
240,Washington Sundar,5,3,0,60.0
241,Y Venugopal Rao,3,6,0,200.0
242,YA Abdulla,7,11,0,157.14285714285714
243,YK Pathan,3,5,0,166.66666666666669
244,YS Chahal,3,1,0,33.33333333333333
245,Yash Dayal,11,17,0,154.54545454545453
246,Yuvraj Singh,20,30,0,150.0
247,Z Khan,41,63,2,153.65853658536585
